code,icao,name,city_code,country,city,state,county
CQF,LFAC,Calais,CQF,FR,Marck,Nord-Pas-de-Calais,Departement du Pas-de-Calais
CQM,LERL,Ciudad Real Central,CQM,ES,,,
CQP,YCFL,Cape Flattery,CQP,AU,Magnetic Island,Queensland,Townsville
CQS,SWCQ,Costa Marques,CQS,BR,,,
CQT,,Caquetania,CQT,CO,,,
CQW,,CHERAW MUNI/LYNCH BELLINGER FLD AIRPORT,CQW,US,,,
CRA,LRCV,Craiova Airport,CRA,RO,Carcea,Dolj,Comuna Carcea
CRB,YCBR,Collarenebri,CRB,AU,,,
CRC,SKGO,Cartago,CRC,CO,Cartago,Valle del Cauca,
CRD,SAVC,General E. Mosconi International Airport,CRD,AR,Comodoro Rivadavia,Chubut,
CRE,KCRE,Grand Strand Airport,MYR,US,North Myrtle Beach,South Carolina,Horry County
CRF,FEFC,Carnot,CRF,CF,Carnot,Mambere-Kadei,
CRG,KCRG,Craig Municipal,JAX,US,,,
CRH,YCHB,Cherribah,CRH,AU,,,
CRI,MYCI,Crooked Island Airport,CRI,BS,,,
CRJ,,Coorabie,CRJ,AU,,,
CRK,RPLC,Diosdado Macapagal International (Clark International),CRK,PH,Santol,Central Luzon,
CRL,EBCI,Charleroi Brussels South Airport,BRU,BE,Charleroi,Wallonia,Province du Hainaut
CRM,RPVF,National Airport,CRM,PH,Bobon,Eastern Visayas,Province of Northern Samar
CRO,,Corcoran,CRO,US,Corcoran,California,Kings County
CRP,KCRP,Corpus Christi International Airport,CRP,US,,,
CRQ,SSCV,Caravelas,CRQ,BR,Nova Vicosa,Bahia,Nova Vicosa
CRR,SANW,Ceres,CRR,AR,Hersilia,Santa Fe,
CRS,KCRS,Corsicana,CRS,US,Corsicana,Texas,Navarro County
CRT,KCRT,Municipal,CRT,US,Crossett,Arkansas,Ashley County
CRU,TGPZ,Carriacou Island,CRU,GD,,,
CRV,LIBC,Crotone,CRV,IT,Isola di Capo Rizzuto,Calabria,Provincia di Crotone
CRW,KCRW,Yeager Airport,CRW,US,Charleston,West Virginia,Kanawha County
CRX,KCRX,Roscoe Turner,CRX,US,Corinth,Mississippi,Alcorn County
CRY,,Carlton Hill,CRY,AU,,,
CRZ,UTAV,Turkmenabad,CRZ,TM,Turkmenabat,Lebap,
CSA,EGEY,Isle Of Colonsay,CSA,GB,,,
CSB,LRCS,Caransebes,CSB,RO,Caransebes,Caras-Severin,Municipiul Caransebes
CSC,MRMJ,Canas,CSC,CR,,,
CSD,,Cresswell Downs,CSD,AU,,,
CSE,0CO2,Crested Butte,CSE,US,Crested Butte,Colorado,Gunnison County
CSF,LFPC,Creil,CSF,FR,Creil,Picardie,Departement de l'Oise
CSG,KCSG,Columbus Airport,CSG,US,,,
CSH,ULAS,Solovky,CSH,RU,Rabocheostrovsk,Republic of Karelia,
CSI,YCAS,Casino,CSI,AU,Casino,New South Wales,Richmond Valley
CSJ,,Cape St Jacques,CSJ,VN,Phu Quy,Binh Thuan,
CSK,GOGS,Cap Skirring,CSK,SN,Oussouye,Ziguinchor,
CSL,,O Sullivan Army Air Field,CSL,US,,,
CSM,KCSM,Sherman,CSM,US,Meeker,Oklahoma,Lincoln County
CSN,KCXP,Carson City,CSN,US,Carson City,Nevada,Carson City
CSO,EDBC,Cochstedt,CSO,DE,Cochstedt,Saxony-Anhalt,
CSP,,Cape Spencer C G Heliport,CSP,US,,,
CSQ,KCSQ,Municipal,CSQ,US,Creston,Iowa,Union County
CSR,,Casuarito,CSR,CO,,,
CSS,SSCL,Cassilandia,CSS,BR,Cassilandia,Mato Grosso do Sul,Cassilandia
CST,NFCS,Castaway,CST,FJ,Lautoka,Western,
CSU,SSSC,Santa Cruz Do Sul,CSU,BR,Santa Cruz do Sul,Rio Grande do Sul,Santa Cruz Do Sul
CSV,KCSV,Memorial,CSV,US,Crossville,Tennessee,Cumberland County
CSW,,Colorado do Oeste,CSW,BR,,,
CSX,ZGHA,Changsha Huanghua Airport,CSX,CN,,,
CSY,UWKS,Cheboksary Airport,CSY,RU,Cheboksary,Chuvashia,Cheboksarskiy Rayon
CSZ,SAZC,Brigadier Hector Ruiz,CSZ,AR,Coronel Suarez,Buenos Aires,Partido de Coronel Suarez
CTA,LICC,Catania-Fontanarossa Airport,CTA,IT,Catania,Sicily,Catania
CTB,KCTB,Cut Bank,CTB,US,Cut Bank,Montana,Glacier County
CTC,SANC,Catamarca Airport,CTC,AR,San Fernando del Valle de Catamarca,Catamarca,
CTD,MPCE,Chitre,CTD,PA,Chitre,Herrera,
CTE,,Carti,CTE,PA,,,
CTF,MGCT,Coatepeque Airport,CTF,GT,Nuevo Progreso,San Marcos,
CTG,SKCG,Rafael Nunez International Airport,CTG,CO,Cartagena,Bolivar,
CTH,KMQS,Chestercounty Carlson,CTH,US,Coatesville,Pennsylvania,Chester County
CTI,FNCV,Cuito Cuanavale,CTI,AO,,,
CTK,,Canton,CTK,US,Canton,South Dakota,Lincoln County
CTL,YBCV,Charleville Airport,CTL,AU,,,
CTM,MMCM,Chetumal Airport,CTM,MX,Chetumal,Quintana Roo,
CTN,YCKN,Cooktown Airport,CTN,AU,,,
CTO,3C8,Peconic River,CTO,US,Bealeton,Virginia,Fauquier County
CTP,,Carutapera,CTP,BR,Carutapera,Maranhao,Carutapera
CTQ,SSVP,Do Palmar,CTQ,BR,Santa Vitoria,Minas Gerais,Santa Vitoria
CTR,YCAC,Cattle Creek,CTR,AU,,,
CTS,RJCC,New Chitose Airport,SPK,JP,Chitose,Hokkaido,
CTT,LFMQ,Le Castellet,CTT,FR,Le Castellet,Provence-Alpes-Cote d'Azur,Departement du Var
CTU,ZUUU,Chengdu Shuangliu International Airport,CTU,CN,Dongsheng,Sichuan,
CTV,,Catoca Airport,CTV,AO,Saurimo,Lunda Sul Province,
CTW,,Cottonwood,CTW,US,Cottonwood,Arizona,Yavapai County
CTX,KN03,Cortland,CTX,US,Cortland,New York,Cortland County
CTY,KCTY,Cross City,CTY,US,Cross City,Florida,Dixie County
CTZ,KCTZ,Sampson County,CTZ,US,Clinton,North Carolina,Sampson County
CUA,MMDA,Ciudad Constitución Airport,CUA,MX,,,
CUB,KCUB,Owens Field,CAE,US,,,
CUC,SKCC,Camilo Daza International Airport,CUC,CO,Cucuta,Norte de Santander,
CUD,YCDR,Caloundra,CUD,AU,Dicky Beach,Queensland,Sunshine Coast
CUE,SECU,Mariscal Lamar International Airport,CUE,EC,Cuenca,Azuay,
CUF,LIMZ,Levaldigi Airport,CUF,IT,Centallo,Piedmont,Provincia di Cuneo
CUG,YCUA,Cudal,CUG,AU,,,
CUH,KCUH,Municipal,CUH,US,Cushing,Oklahoma,Payne County
CUI,,Currillo,CUI,CO,Mani,Casanare,
CUJ,,Culion,CUJ,PH,Bulalacao,Mimaropa,Province of Palawan
CUK,MZCK,Caye Caulker,CUK,BZ,,,
CUL,MMCL,Culiacan International Airport,CUL,MX,El Diez,Sinaloa,Culiacan
CUM,SVCU,Cumana,CUM,VE,Cumana,Sucre,Municipio Sucre
CUN,MMUN,Cancun International Airport,CUN,MX,Alfredo V. Bonfil,Quintana Roo,
CUO,SKCR,Caruru,CUO,CO,,,
CUP,SVCP,Carupano,CUP,VE,Carupano,Sucre,Municipio Bermudez
CUQ,YCOE,Coen,CUQ,AU,,,
CUR,TNCC,Curacao International Airport,CUR,CW,Sint Michiel Liber,,
CUS,,Municipal,CUS,US,Columbus,New Mexico,Luna County
CUT,SAZW,Cutral,CUT,AR,Plaza Huincul,Neuquen,
CUU,MMCU,Gen Fierro Villalobos Airport,CUU,MX,Ninguno [CERESO],Chihuahua,Aquiles Serdan
CUV,SVCG,Casigua,CUV,VE,Dabajuro,Falcon,Municipio Dabajuro
CUW,,Cube Cove,CUW,US,,,
CUX,,Cuddihy Field,CRP,US,,,
CUY,YCUE,Cue,CUY,AU,,,
CUZ,SPZO,Alejandro Velasco Astete International Airport,CUZ,PE,Cusco,Cusco,Provincia de Cusco
CVA,,Civic Ar Heli,PIT,US,,,
CVB,AYCB,Chungribu,CVB,PG,,,
CVC,YCEE,Cleve,CVC,AU,Cleve,South Australia,Cleve
CVE,SKCV,Covenas,CVE,CO,San Antero,Cordoba,
CVF,LFLJ,Courchevel,CVF,FR,Courchevel,Rhone-Alpes,Departement de la Savoie
CVG,KCVG,Cincinnati/Northern Kentucky Airport,CVG,US,Hebron,Kentucky,Boone County
CVH,SAHE,Caviahue,CVH,AR,,,
CVI,,Caleta Olivia,CVI,AR,Caleta Olivia,Santa Cruz,
CVJ,MMCB,General Mariano Matamoros Airport,CVJ,MX,Cuernavaca,Morelos,Cuernavaca
CVL,,Cape Vogel,CVL,PG,,,
CVM,MMCV,Ciudad Victoria Airport,CVM,MX,Ciudad Victoria,Tamaulipas,
CVN,KCVN,Clovis Municipal Airport,CVN,US,Texico,New Mexico,Curry County
CVO,KCVO,Albany,CVO,US,Albany,Oregon,Linn County
CVQ,YCAR,Carnarvon Airport,CVQ,AU,,,
CVR,,Hughes,CVR,US,Marina del Rey,California,Los Angeles County
CVS,KCVS,Cannon AFB,CVN,US,Cannon Air Force Base,New Mexico,Curry County
CVT,EGBE,Coventry Airport,CVT,GB,Ryton on Dunsmore,England,Warwickshire
CVU,LPCR,Corvo Island (Azores) Airport,CVU,PT,,,
CWA,KCWA,Central Wisconsin Airport,AUW,US,Mosinee,Wisconsin,Marathon County
CWB,SBCT,Afonso Pena International Airport,CWB,BR,Sao Jose dos Pinhais,Parana,Sao Jose Dos Pinhais
